backtesting    | # CPUs: 5
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 22, limits [70, 25], stopLoss 0.005) --- Ending Value: -8430333.437879514 --- Total win/loss 1/0, 0
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 22, limits [60, 25], stopLoss 0.005) --- Ending Value: -58399760.91639766 --- Total win/loss 1/0, 0
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 22, limits [65, 25], stopLoss 0.005) --- Ending Value: -23236853.05420226 --- Total win/loss 1/0, 0
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 22, limits [70, 20], stopLoss 0.005) --- Ending Value: -7654820.569282021 --- Total win/loss 1/0, 0
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 26, limits [70, 30], stopLoss 0.01) --- Ending Value: -6596875.701991171 --- Total win/loss 0/1, 0
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 26, limits [70, 25], stopLoss 0.01) --- Ending Value: -7312731.535037916 --- Total win/loss 2/0, 6.18
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 26, limits [60, 25], stopLoss 0.01) --- Ending Value: -44373465.48115057 --- Total win/loss 1/1, 1.09
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 26, limits [65, 25], stopLoss 0.01) --- Ending Value: -18506952.9028607 --- Total win/loss 2/0, 3.74
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 26, limits [70, 20], stopLoss 0.01) --- Ending Value: -2774902.3181551695 --- Total win/loss 1/1, -0.15
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 16, limits [70, 30], stopLoss 0.005) --- Ending Value: -9830134.230034713 --- Total win/loss 0/1, 0
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 16, limits [70, 25], stopLoss 0.005) --- Ending Value: -11976351.573613293 --- Total win/loss 1/0, 0
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 16, limits [60, 25], stopLoss 0.005) --- Ending Value: -86267650.44605404 --- Total win/loss 2/0, 1.69
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 16, limits [65, 25], stopLoss 0.005) --- Ending Value: -33713332.21051489 --- Total win/loss 1/0, 0
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 16, limits [70, 20], stopLoss 0.005) --- Ending Value: -12240509.631561913 --- Total win/loss 2/0, 3.07
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 19, limits [70, 30], stopLoss 0.01) --- Ending Value: -7183999.62977336 --- Total win/loss 0/1, 0
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 19, limits [70, 25], stopLoss 0.01) --- Ending Value: -8619198.693055544 --- Total win/loss 1/0, 0
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 19, limits [60, 25], stopLoss 0.01) --- Ending Value: -67018520.3995094 --- Total win/loss 2/0, 1.7
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 19, limits [65, 25], stopLoss 0.01) --- Ending Value: -26048127.19672823 --- Total win/loss 1/0, 0
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 19, limits [70, 20], stopLoss 0.01) --- Ending Value: -8583924.605177768 --- Total win/loss 1/0, 0
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 23, limits [70, 30], stopLoss 0.01) --- Ending Value: -7355566.881608322 --- Total win/loss 1/0, 0
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 23, limits [70, 25], stopLoss 0.01) --- Ending Value: -8387005.733066402 --- Total win/loss 2/0, 21.91
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 23, limits [60, 25], stopLoss 0.01) --- Ending Value: -53763928.04201871 --- Total win/loss 1/1, 1.04
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 23, limits [65, 25], stopLoss 0.01) --- Ending Value: -21210972.154286504 --- Total win/loss 2/0, 3.37
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 23, limits [70, 20], stopLoss 0.01) --- Ending Value: -8330394.0449052155 --- Total win/loss 1/0, 0
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 28, limits [70, 30], stopLoss 0) --- Ending Value: 11087.338651959995 --- Total win/loss 14/14, 0.92
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 28, limits [70, 25], stopLoss 0) --- Ending Value: 10036.991672271573 --- Total win/loss 5/10, 0.07
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 28, limits [60, 25], stopLoss 0) --- Ending Value: 10608.617048130835 --- Total win/loss 14/5, 1.22
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 28, limits [65, 25], stopLoss 0) --- Ending Value: 10190.442739984692 --- Total win/loss 9/9, 0.32
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 28, limits [70, 20], stopLoss 0) --- Ending Value: 10228.359928878983 --- Total win/loss 3/2, 0.56
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 16, limits [70, 30], stopLoss 0.001) --- Ending Value: -9830134.2300209 --- Total win/loss 0/1, 0
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 16, limits [70, 25], stopLoss 0.001) --- Ending Value: -11976351.573602006 --- Total win/loss 1/0, 0
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 16, limits [60, 25], stopLoss 0.001) --- Ending Value: -86267650.4460428 --- Total win/loss 2/0, 1.69
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 16, limits [65, 25], stopLoss 0.001) --- Ending Value: -33713332.21050361 --- Total win/loss 1/0, 0
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 16, limits [70, 20], stopLoss 0.001) --- Ending Value: -12240509.631561913 --- Total win/loss 2/0, 3.07
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 21, limits [70, 30], stopLoss 0) --- Ending Value: 11061.365809322513 --- Total win/loss 28/21, 1.05
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 21, limits [70, 25], stopLoss 0) --- Ending Value: 10788.571211299013 --- Total win/loss 16/14, 0.91
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 21, limits [60, 25], stopLoss 0) --- Ending Value: 11691.69040652718 --- Total win/loss 23/15, 2.37
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 21, limits [65, 25], stopLoss 0) --- Ending Value: 10918.965284038137 --- Total win/loss 20/13, 1.27
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 21, limits [70, 20], stopLoss 0) --- Ending Value: 10382.134793426081 --- Total win/loss 8/7, 0.69
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 23, limits [70, 30], stopLoss 0.001) --- Ending Value: -7355566.881581698 --- Total win/loss 1/0, 0
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 23, limits [70, 25], stopLoss 0.001) --- Ending Value: -9013014.927191712 --- Total win/loss 1/0, 0
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 23, limits [60, 25], stopLoss 0.001) --- Ending Value: -55424169.705628455 --- Total win/loss 1/0, 0
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 23, limits [65, 25], stopLoss 0.001) --- Ending Value: -22764493.18652474 --- Total win/loss 1/0, 0
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 23, limits [70, 20], stopLoss 0.001) --- Ending Value: -8330394.044900119 --- Total win/loss 1/0, 0
backtesting    | data processed: DOGEUSDT-20170101-20220129-30m.csv, RSI (period 27, limits [70, 30], stopLoss 0.01) --- Ending Value: -6522813.178335348 --- Total win/loss 0/1, 0
